badge_name,is_active,badge_icon
I Love You,1,
I Hate You,1,
I Trust You,1,
I Respect You,1,
I Admire You,1,
You are my hero,1,
You are my crush,1,
I care for you,1,
Mr Supercool,1
Angry young man,1,
Superman,1,
